building,code,description,title,days,credits,time,instructor,school,collegeId,department
1227 A&AB,ARCH10009,no description available,Basic Drawing,M-W----,4,830-1130AM,Harris,,2,
B100 MLB,ARCH10010,no description available,Graphic Commun,-T-TH---,4,9-12PM,Gilpin,,2,
2108 A&AB,ARCH23808,no description available,Special Topics Arch,----F--,3,1-4PM,"Haar, Vliet",,2,
ARR,ARCH10031,no description available,Digital Drawing,-T-----,3,130-230PM,,,2,
ARR,ARCH23435,no description available,Digital Drawing,-T-----,3,230-430PM,,,2,
ARR,ARCH24967,no description available,Digital Drawing,---TH---,3,130-230PM,,,2,
ARR,ARCH24968,no description available,Digital Drawing,---TH---,3,230-430PM,,,2,
AUD D AH,ARCH20855,no description available,Understand Arch,M-W----,3,9-10AM,,,2,
1006 DANA,ARCH20864,no description available,Understand Arch,---TH---,3,9-10AM,,,2,
1006 DANA,ARCH20865,no description available,Understand Arch,----F--,3,10-11AM,,,2,
2024 DANA,ARCH20866,no description available,Understand Arch,---TH---,3,10-11AM,,,2,
B100 MLB,ARCH21396,no description available,Visual Studies,-T-TH---,5,1-4PM,,,2,
3100 A&AB,ARCH10011,no description available,Arch Design I,M-W-F--,6,1-5PM,Harris,,2,
3100 A&AB,ARCH28810,no description available,Arch Design I,M-W-F--,6,1-5PM,,,2,
2104 A&AB,ARCH10015,no description available,History Arch I,M-W----,3,11-12PM,Rovang,,2,
2210 A&AB,ARCH17383,no description available,History Arch I,----F--,3,10-11AM,,,2,
2213 A&AB,ARCH10016,no description available,History Arch I,----F--,3,10-11AM,,,2,
2210 A&AB,ARCH10017,no description available,History Arch I,----F--,3,11-12PM,,,2,
2213 A&AB,ARCH10018,no description available,History Arch I,----F--,3,11-12PM,,,2,
2104 A&AB,ARCH10019,no description available,Structures I,M---F--,3,9-10AM,von Buelow,,2,
ARR,ARCH10020,no description available,Structures I,--W----,3,9-10AM,,,2,
1227 A&AB,ARCH10025,no description available,Design Fund I,-T-TH---,3,9-10AM,Mitnick,,2,
2213 A&AB,ARCH10025,no description available,Design Fund I,---TH---,3,10-11AM,,,2,
ARR,ARCH10026,no description available,Design Fund I,-T-TH---,3,9-10AM,Roddier,,2,
ARR,ARCH10026,no description available,Design Fund I,---TH---,3,10-11AM,,,2,
2104 A&AB,ARCH10027,no description available,Construction,---TH---,3,1-3PM,Rule,,2,
3100 A&AB,ARCH10027,no description available,Construction,---TH---,3,3-6PM,,,2,
ARR,ARCH10028,no description available,Construction,---TH---,3,1-3PM,,,2,
3100 A&AB,ARCH10028,no description available,Construction,---TH---,3,3-6PM,,,2,
ARR,ARCH26554,no description available,Construction,---TH---,3,1-3PM,,,2,
3100 A&AB,ARCH26554,no description available,Construction,---TH---,3,3-6PM,,,2,
1210 CHEM,ARCH28379,no description available,"Arch, Sustainability",-T-TH---,3,9-10AM,Kelbaugh,,2,
806 BMT,ARCH28380,no description available,"Arch, Sustainability",--W----,3,10-11AM,,,2,
B103 MLB,ARCH28381,no description available,"Arch, Sustainability",--W----,3,10-11AM,,,2,
B109 MLB,ARCH28382,no description available,"Arch, Sustainability",--W----,3,10-11AM,,,2,
3816 SSWB,ARCH28383,no description available,"Arch, Sustainability",--W----,3,12-1PM,,,2,
B760 SSWB,ARCH28384,no description available,"Arch, Sustainability",--W----,3,12-1PM,,,2,
2229 SEB,ARCH28385,no description available,"Arch, Sustainability",--W----,3,12-1PM,,,2,
1046 DANA,ARCH28386,no description available,"Arch, Sustainability",--W----,3,1-2PM,,,2,
2024 DANA,ARCH28387,no description available,"Arch, Sustainability",--W----,3,1-2PM,,,2,
2310 SEB,ARCH28388,no description available,"Arch, Sustainability",--W----,3,1-2PM,,,2,
ARR,ARCH10030,no description available,Tutorl Stds in Arch,-------,1.00-3.00,ARR,,,2,
ARR,ARCH24970,no description available,Special Topics Arch,-T-----,3,9-12PM,Ahlquist,,2,
2108 A&AB,ARCH24971,no description available,Special Topics Arch,-T-TH---,3,1-230PM,Meier,,2,
270 TAP,ARCH28075,no description available,Special Topics Arch,M-W----,3,10-1130AM,Leon,,2,
3100 A&AB,ARCH16071,no description available,Arch Design I,M-W-F--,6,1-5PM,Fure,,2,
3100 A&AB,ARCH22636,no description available,Arch Design I,M-W-F--,6,1-5PM,Herrmann,,2,
3100 A&AB,ARCH22637,no description available,Arch Design I,M-W-F--,6,1-5PM,,,2,
3100 A&AB,ARCH22883,no description available,Arch Design I,M-W-F--,6,1-5PM,,,2,
2108 A&AB,ARCH17058,no description available,History,-T-TH---,3,1030-12PM,Zimmerman,,2,
1227 A&AB,ARCH23349,no description available,Construction,---TH---,3,1-330PM,Mankouche,,2,
1227 A&AB,ARCH23349,no description available,Construction,---TH---,3,330-6PM,,,2,
ARR,ARCH23350,no description available,Construction,---TH---,3,1-330PM,Schmidt,,2,
2210 A&AB,ARCH23350,no description available,Construction,---TH---,3,330-6PM,,,2,
ARR,ARCH23351,no description available,Construction,---TH---,3,1-330PM,Wigger,,2,
2213 A&AB,ARCH23351,no description available,Construction,---TH---,3,330-6PM,,,2,
ARR,ARCH24972,no description available,Geometric Modeling,M------,3,9-12PM,Meier,,2,
1040 DANA,ARCH10032,no description available,Int U P&Env,-T-TH---,3,10-11AM,D'Anieri,,2,
1006 DANA,ARCH10033,no description available,Int U P&Env,---TH---,3,12-1PM,,,2,
1006 DANA,ARCH10034,no description available,Int U P&Env,----F--,3,11-12PM,,,2,
2024 DANA,ARCH10035,no description available,Int U P&Env,---TH---,3,12-1PM,,,2,
3100 A&AB,ARCH10036,no description available,Arch Des III,M-W-F--,6,1-5PM,Roddier,,2,
2227 A&AB,ARCH20487,no description available,Dimensions,-T-----,1,7-9PM,Unverzagt,,2,
2213 A&AB,ARCH22639,no description available,Spec Topics Env Tech,--W----,3,230-530PM,Kim,,2,
2222 A&AB,ARCH26558,no description available,Spec Topics Env Tech,M------,3,1-4PM,Junghans,,2,
2210 A&AB,ARCH19282,no description available,Spec Topics Des Fund,M------,3,1230-4PM,Strickland,,2,
2227 A&AB,ARCH20550,no description available,Spec Topics Des Fund,M------,3,1-4PM,Groat,,2,
2222 A&AB,ARCH32269,no description available,Spec Topics Des Fund,----F--,3,9-12PM,Clutter,,2,
2213 A&AB,ARCH20562,no description available,Spec Topics Des Fund,--W----,3,9-12PM,Curry,,2,
ARR,ARCH18462,no description available,Experimental Course,-T-----,3,9-12PM,Ahlquist,,2,
2227 A&AB,ARCH21335,no description available,Experimental Course,-T-----,3,9-12PM,Wilkins,,2,
2213 A&AB,ARCH21337,no description available,Experimental Course,M------,3,9-12PM,Sirota,,2,
2222 A&AB,ARCH21338,no description available,Experimental Course,--W----,3,1-4PM,Morcillo Pallares,,2,
ARR,ARCH24974,no description available,Experimental Course,M------,3,9-12PM,Vance,,2,
G463 MH,ARCH21339,no description available,Experimental Course,---TH---,3,7-10PM,Chaffers,,2,
ARR,ARCH28543,no description available,Experimental Course,----F--,3,9-12PM,Manninger,,2,
2210 A&AB,ARCH28545,no description available,Experimental Course,M------,3,6-9PM,Lewis,,2,
2210 A&AB,ARCH32411,no description available,Frame Structures,-T-TH---,3,1030-12PM,von Buelow,,2,
2104 A&AB,ARCH26583,no description available,Sustainable Systems,---TH---,3,10-12PM,"Maigret, Miller",,2,
ARR,ARCH26584,no description available,Sustainable Systems,---TH---,3,1-2PM,"Maigret, Miller",,2,
ARR,ARCH26585,no description available,Sustainable Systems,---TH---,3,1-2PM,"Maigret, Miller",,2,
2213 A&AB,ARCH26586,no description available,Sustainable Systems,---TH---,3,1-2PM,"Maigret, Miller",,2,
2222 A&AB,ARCH26587,no description available,Sustainable Systems,---TH---,3,1-2PM,"Maigret, Miller",,2,
ARR,ARCH26588,no description available,Sustainable Systems,---TH---,3,2-3PM,"Maigret, Miller",,2,
ARR,ARCH26589,no description available,Sustainable Systems,---TH---,3,2-3PM,"Maigret, Miller",,2,
2213 A&AB,ARCH29067,no description available,Sustainable Systems,---TH---,3,2-3PM,"Maigret, Miller",,2,
2104 A&AB,ARCH17025,no description available,Arch Representation,--W----,3,5-6PM,Kulper,,2,
ARR,ARCH17026,no description available,Arch Representation,--W----,3,230-5PM,Kulper,,2,
2108 A&AB,ARCH20375,no description available,Hist Urban Form,M-W----,3,9-1030AM,Rovang,,2,
2104 A&AB,ARCH28549,no description available,Integrative Systems,-T-----,3,9-12PM,"Kennedy, Junghans",,2,
2213 A&AB,ARCH32412,no description available,Reinfor Concr Struc,M-W----,3,1-230PM,Giles,,2,
1227 A&AB,ARCH26600,no description available,Fabrication,--W----,3,6-9PM,"Brugmann, Peller",,2,
2108 A&AB,ARCH26600,no description available,Fabrication,--W----,3,6-9PM,,,2,
2222 A&AB,ARCH26600,no description available,Fabrication,--W----,3,6-9PM,,,2,
2227 A&AB,ARCH26600,no description available,Fabrication,--W----,3,6-9PM,,,2,
2210 A&AB,ARCH32406,no description available,20th Century Arch,--W----,3,2-5PM,Herscher,,2,
2213 A&AB,ARCH32419,no description available,Spatial Data Form,-T-----,3,9-12PM,McCullough,,2,
3100 A&AB,ARCH10040,no description available,Arch Design V,-T--F--,6,1-6PM,McMorrough,,2,
3100 A&AB,ARCH20671,no description available,Arch Design V,-T--F--,6,1-6PM,Unverzagt,,2,
3100 A&AB,ARCH21334,no description available,Arch Design V,-T--F--,6,1-6PM,Wilkins,,2,
3100 A&AB,ARCH22922,no description available,Arch Design V,-T--F--,6,1-6PM,Robinson,,2,
3100 A&AB,ARCH23588,no description available,Arch Design V,-T--F--,6,1-6PM,Jefferson,,2,
3100 A&AB,ARCH23589,no description available,Arch Design V,-T--F--,6,1-6PM,,,2,
2204 A&AB,ARCH23637,no description available,Bld Sy&Ener Consvtn,---TH---,3,9-12PM,Navvab,,2,
1227 A&AB,ARCH28997,no description available,Adv Digital Fab,----F--,3,9-12PM,,,2,
2213 A&AB,ARCH10046,no description available,Building Ecology,M------,3,230-530PM,Kim,,2,
2104 A&AB,ARCH22091,no description available,Professnl Pract,M------,3,1-4PM,,,2,
ARR,ARCH24975,no description available,Design Computing,M------,3,9-12PM,Herrmann,,2,
ARR,ARCH10047,no description available,Tutrl Std Arch Hist,-------,1.00-3.00,ARR,,,2,
ARR,ARCH10048,no description available,Tutor Studies Arch,-------,1.00-3.00,ARR,,,2,
2227 A&AB,ARCH31485,no description available,Sem Arch History,---TH---,3,1-4PM,Zimmerman,,2,
ARR,ARCH32448,no description available,Sem Arch History,-T-----,3,9-12PM,McMorrough,,2,
2227 A&AB,ARCH32449,no description available,Sem Arch History,--W----,3,9-12PM,Herscher,,2,
2204 A&AB,ARCH23636,no description available,Env Des Simulation,-T-----,3,9-12PM,Navvab,,2,
