building,code,description,title,days,credits,time,instructor,school,collegeId,department
TBA,L90 AFAS 1002," Designed to introduce the student to issues in African & African American Studies and how students with AFAS degrees utilize their knowledge in graduate and professional programs or the working world. Particular attention will be paid to the discipline of African & African American studies, which engages with the artistic, cultural, historical, literary, and theoretical expressions of the peoples and cultures of Africa and the African Diaspora. Faculty members as well as Saint Louis professionals will give one-hour lectures on their particular disciplinary approach, their research, or their professional life. Students will be required to attend 3 outside lectures or performances. May be taken before declaring major, and may be taken by non-majors.",Foundations in African & African-American Studies,M------,1,4:00P-5:30P,Toliver-Diallo,,1,
McMillan / 219,L90 AFAS 103D," This course is the first in a two-course sequence at the beginning level of Swahili. Designed to provide rapid acquisition of conversational skills, written expression, and reading comprehension, the course also introduces students to various aspects of culture across the Swahili-speaking countries in east and central Africa. The course also focuses on contemporary Swahili expressions in music, social media, Hollywood productions, advertising, political campaigns, and youth slang. Additionally, students will participate in community-based learning projects that entail teaching and mentoring Swahili-speaking refugees at a St. Louis public school. The course also prepares students for study abroad in any of the dozen Swahili-speaking countries in Africa.",Beginning Swahili I,MT-R---,5,11:30A-1:00P,Mutonya,,1,
TBA,L90 AFAS 178," The goal of this course is to provide a glimpse into how youth reshape African society. Whether in North Africa with the Arab Spring, in West Africa with university strikes, or in East Africa through a linguistic full bloom, youth have been shaping social responses to societies for a long period. In this course, we will study social structures, including churches, NGOs, developmental agencies as well as learn about examples of Muslim youth movements, and the global civil society. The course will also explore how youth impact cultural movements in Africa and how they influence the world. In particular, we will examine Hip-Hop movements, sports, and global youth culture developments that center on fashion, dress, dance, and new technologies. By the end of the course, students will have enriched ideas about youth in Africa and ways to provide more realistic comparisons to their counterparts in the United States.","Imagining and Creating Africa: Youth, Culture, and Change",-T-R---,3,2:30P-4:00P,DIALLO,,1,
TBA,L90 AFAS 203D," This course is the first in a two-course sequence at the intermediate level of Swahili. Designed to enhance Swahili skills acquired at the beginning level, the course emphasizes conversation practice and vocabulary enrichment that enables a learner to use contemporary Swahili in different situations. A broad range of authentic Swahili texts will be introduced. Learners will continue to interact meaningfully with Swahili speakers in St. Louis during community-based learning at a refugee school and elsewhere. Prereq: AFAS 103DQ-104DQ or the equivalent.",Intermediate Swahili III,M-W----,3,2:30P-4:00P,Mutonya,,1,
TBA,L90 AFAS 255," The course provides an overview of the field Africana Studies and provides analysis of the lives and thoughts of people of African ancestry on the African continent and throughout the world. In this course we will also examine the contributions of Africana Studies to other disciplines. The course takes an interdisciplinary approach drawing from history, philosophy, sociology, political studies, literature, and performance studies and will draw examples from Africa, the United States, the Caribbean, Europe, and South America. When possible, we will explore Diaspora relationships and explore how the African presence has transformed societies throughout the world. This class will focus on both classic texts and modern works that provide an introduction to the dynamics of African American and African Diaspora thought and practice.",Introduction to Africana Studies,M-W----,3,1:00P-2:30P,"Fenderson, Bedasse",,1,
TBA,L90 AFAS 280," In 1903 W.E.B. Du Bois wrote that the ""biggest problem of the 20th Century is the problem of the color line."" By this stage, cinema and photography were already well established technologies that were being used to produce and justify differences between black and white subjects. Collectively through historical and theoretical readings, film screenings, and by engaging with a variety of visual arts practices, in this seminar we will first examine the relationship between early visual technologies and modern understandings of race. Since the development of photography and cinema, scientists, anthropologists, and the state have mobilized such visual technologies to inscribe racialized difference onto black/African/native bodies. Central to our analysis is the manner in which visual technologies have produced the black/African body as not just racially different but also deviant in terms of gender and sexuality. After establishing the historical context, we will shift our focus to consider how contemporary artists from the Africa diaspora use visual culture and aesthetics to actively challenge and critique overdetermined stereotypes of blackness. Throughout the semester we will study the manner in which class, gender, and sexuality are central to the production of the black body and we will engage with various representations of blackness that consider these intersecting social formations.",Freshman Seminar:Imaging Blackness: Race and Visual Culture in the African Diaspora,M-W----,3,1:00P-2:30P,Ellapen,,1,
TBA,L90 AFAS 301," A survey of African American theatre from post-Civil War ""coon"" shows and reviews to movements for a national black theatre, such as Krigwa, Lafayette and Lincoln, and the Black Arts Movement. Early black theatre and minstrels; black theatre movement and other ethnic theatre movements in America. Critical readings of such plays as Amiri Baraka's ""Dutchman,"" Lorraine Hansberry's ""A Raisin in the Sun,"" Langston Hughes and Zora Neale Hurston's ""Mulebone."" Also works by August Wilson, Ed Bullins, Charles Fuller, Georgia Douglas Johnson.",A History of African-American Theater,-T-R---,3,4:00P-5:30P,Himes,,1,
Music Cls Bldg / 102,L90 AFAS 3031," This course explores musical cross-fertilization between the African continent and South America, the Caribbean, and Europe. Beginning with traditional musics from selected regions of the African continent, the course examines the cultural and musical implications of transnational musical flows on peoples of the African diaspora and their multicultural audiences.",Topics in Music: Music of the African Diaspora,-T-R---,3,10:00A-11:30A,Burke,,1,
TBA,L90 AFAS 3062," This course will explore the introduction of Islam into West Africa beginning in the 10th Century and explore its expansion and development in the region, placing emphasis on the 19th century to present day. It will focus on the development of West African Muslim cultural, social, religious, and political life, to understand not only how the religion affected societies, but also how West African local societies shaped Islam. The course also aims to introduce students to a critical understanding of Islamic writing in West Africa. It will also examine the organization of Muslim Sufi orders in West Africa through time and space. The course is organized around a series of lectures, readings, as well as print and visual media.","Islam, Culture and Society in West Africa",-T-R---,3,4:00P-5:30P,DIALLO,,1,
Mallinckrodt / 207,L90 AFAS 311," This course will examine the works of several African American choreographers and their contributions to the field of modern dance in America. These works, considered modern day classics, depict important historical events and reveal cultural influences that people of African descent have impressed upon our society. Through the medium of dance aided by discussions, video and class reading assignments, the choreographers' works will be analyzed for form, content and social relevance. Studio work will include technique to support learning the repertory. Prerequisite: 1-2 years training in modern, jazz or ballet.",Modern Dance and the African-American Legacy,-T-R---,2,1:00P-3:00P,Cecil Slaughter,,1,
