building,code,description,title,days,credits,time,instructor,department,school,collegeId
Whitaker / 100,E62 BME 140," An introduction to the vast and diverse field of biomedical engineering (BME), this very challenging course has two main purposes. One is to teach students -- via lectures, reading assignments, homework and exams, to think on their own, to solve problems, and how engineering principles are applied to the areas of bioelectricity, biomechanics, biomolecules, biotechnology, and bioimaging. The second is to introduce students, via guest lectures by school of medicine and engineering faculty, to some of the fascinating and challenging ongoing research in these areas. By the end of the course students will have begun to acquire the skills and approaches necessary to succeed in the engineering curriculum as well as a much more in-depth and informed perspective of BME. Corequisites: Phys. 117A or 197, Chem 111A, and college level calculus.",Introduction to Biomedical Engineering,M-W----,3,2:30P-4:00P,"Widder, Moran",,school of engineering ,1
Whitaker / 100,E62 BME 301A," A course (lectures, recitation and supervised laboratory sections) designed to elaborate the physiological background necessary for advanced work in biomedical engineering. A quantitative model-oriented approach to physiological systems is stressed. Topics include bioinstrumentation, eye movement, muscle mechanics, action potentials, sensory systems, neuroprosthetics. Prerequisites: BME 140, CSE 131, ESE 230, Biol 3058 (Previously Biol 3050 or 3059), ESE 319, or permission of instructor. An optional recitation session will be held on Tuesdays 2:30-4:00.",Quantitative Physiology I,-T-R---,4,1:00P-2:30P,"Widder, Barbour, Raman",,school of engineering ,1
Brauer Hall / 12,E62 BME 320B," This course teaches the foundations of thermodynamics with strong emphasis on concepts, translation of concepts, and applications of concepts in bioengineering and biophysics. The target audience for this course is juniors majoring in Biomedical Engineering. The course content will draw, loosely, from the book ""Molecular Driving Forces: Statistical Thermodynamics in Chemistry and Biology"" by Ken A. Dill and Sarina Bromberg published by Garland Science. Students have to enroll in the problem solving session. Prerequisites: A strong background in multivariate calculus. Probability and statistics is useful as a co-requisite.",Bioengineering Thermodynamics,M-W----,3,11:30A-1:00P,Pappu,,school of engineering ,1
Brauer Hall / 2011,E62 BME 329," This course will include hands-on, laboratory experiments in topics relevant to bioengineering thermodynamics, such as heat transfer, relationships involving temperature and pressure, equilibria, mixing, and solution chemistry. A focus of the course will be extending fundamental scientific principles to biological applications. Students will have the opportunity to design their own experiments, explore topics of special interest, and present their findings. Prerequisites: Chem 111A and 151; Phys 117A, 118A or Phys 197, 198.",Biothermodynamics in Practice,-T-----,3,10:00A-1:00P,Widder,,school of engineering ,1
Whitaker / 218,E62 BME 459," This course covers several of the fundamental theories of solid mechanics that are needed to solve problems in biomechanics. The theories of nonlinear elasticity, viscoelasticity, and poroelasticity are applied to a large range of biological tissues including bone, articular cartilage, blood vessels, the heart, skeletal muscle, and red blood cells. Other topics include muscle activation, the biomechanics of development and functional adaptation, and the mechanics of hearing. Prerequisites: BME240 and ESE317 or ESE 318 and 319 or permission of instructor.",Intermediate Biomechanics,M-W----,3,11:30A-1:00P,Shao,,school of engineering ,1
Whitaker / 218,E62 BME 471," This course is a quantitative introduction to the origins of bioelectricity with an emphasis on neural and cardiac electrophysiology. Topics will include electric fields and current flow in volume conductors; cell membrane channels and their role in generating membrane potentials; action potentials and their propagation in myelinated and unmyelinated axons as well as cardiac tissue. Minor topics of discussion will include both skeletal muscle and non-human (e.g. electric fish) sources of bioelectricity. Prerequisite: ESE 330",Bioelectric Phenomena,M-W----,3,10:00A-11:30A,Moran,,school of engineering ,1
Whitaker / 318,E62 BME 4903," The course will introduce the spectrum of biophysical techniques used in biomedical sciences with a focus on advanced fluorescence spectroscopy. The first half of the course (January to Spring break) will introduce the concepts behind techniques such as: dynamic light scattering, SPR, analytical ultracentrifugation size-exclusion and affinity chromatography, atomic force microscopy, fluorescence spectroscopy, FRET, FTIR, circular dichroism, fluorescence correlation spectroscopy, sub-diffraction microscopy. The second half of the course will be held as six 3 h block lab classes (Fridays 10a - 1p) in which the students will use these techniques in experiments on protein folding, protein stability and amyloid formation. Prior attendance of BME 461 ""Protein structure and dynamics"" is encouraged. Because of limited room in the experimental lab, attendance will be limited to 9 students. Prerequisite: senior or graduate standing",Physical Methods for Biomedical Scientists,--W-F--,3,10:00A-11:30A,Bieschke,,school of engineering ,1
TBA,E62 BME 4904," Attachment of dissimilar materials in engineering and surgical practice is a challenge. Bimaterial attachment sites are common locations for injury and mechanical failure. Nature presents several highly effective solutions to the challenge of bimaterial attachment that differ from those found in engineering practice. This course bridges the physiologic, surgical, and engineering approaches to connecting dissimilar materials. Topics in this course are: natural bimaterial attachments; engineering principles underlying attachments; analysis of the biology of attachments in the body; mechanisms by which robust attachments are formed; concepts of attaching dissimilar materials in surgical practice and engineering; and bioengineering approaches to more effectively combine dissimilar materials.",Interfaces and Attachments in Natural and Engineered Structures,-T-R---,3,4:00P-5:30P,Genin,,school of engineering ,1
Whitaker / 216,E62 BME 494," Introduce basic principles of ultrasound imaging, diagnostic ultrasound imaging system, clinical applications, and emerging technologies in industry. Prerequisites: ESE 351",Ultrasound Imaging,-T-R---,3,8:30A-10:00A,"Chen, Hong",,school of engineering ,1
Whitaker / 218,E62 BME 501," This is a pass/fail course which is required for the MS or the PhD degrees. A passing grade is required for each semester of full-time enrollment (6 units or more). A passing grade is received by attendance at the regularly scheduled BME seminars.",Graduate Seminar,---R---,0,10:00A-11:30A,"Teasdale, Setton",,school of engineering ,1
